"Tipo";"Ação Orçamentária";"Linguagem Cidadã";"Tipo de Favorecido";"UF";"Município";"Valor Transferido";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"SÃO SEBASTIÃO DO UATUMÃ";"R$ 26.800,14";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"CAAPIRANGA";"R$ 27.000,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"CAAPIRANGA";"R$ 27.219,93";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Administração Pública Municipal";"AM";"BOA VISTA DO RAMOS";"R$ 27.242,16";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"BERURI";"R$ 27.267,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"BERURI";"R$ 27.328,44";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"NHAMUNDÁ";"R$ 27.402,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"IPIXUNA";"R$ 27.600,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"AMATURÁ";"R$ 27.639,71";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"CANUTAMA";"R$ 27.727,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"NOVO ARIPUANÃ";"R$ 27.930,00";
"Legais, Voluntárias e Específicas";"21CE - IMPLEMENTACAO DE POLITICAS DE ATENCAO PRIMARIA A SAUDE";"Sem informação";"Fundo Público";"AM";"ITACOATIARA";"R$ 28.000,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Administração Pública Municipal";"AM";"BOA VISTA DO RAMOS";"R$ 28.383,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"BARCELOS";"R$ 28.387,24";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"MARAÃ";"R$ 28.537,18";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"ENVIRA";"R$ 28.701,24";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"ANORI";"R$ 29.031,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"TONANTINS";"R$ 29.055,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"AMATURÁ";"R$ 29.064,00";
"Legais, Voluntárias e Específicas";"20AB - INCENTIVO FINANCEIRO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA EXECUCAO DE ACOES DE VIGILANCIA SANITARIA";"Vigilância Sanitária";"Fundo Público";"AM";"PARINTINS";"R$ 29.109,75";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"NHAMUNDÁ";"R$ 29.220,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"CODAJÁS";"R$ 29.712,27";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"URUCARÁ";"R$ 29.794,08";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"ATALAIA DO NORTE";"R$ 29.928,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"JURUÁ";"R$ 29.940,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"CAAPIRANGA";"R$ 30.347,92";
"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"AM";"ATALAIA DO NORTE";"R$ 30.600,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"URUCURITUBA";"R$ 30.726,24";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"TABATINGA";"R$ 30.963,10";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"UARINI";"R$ 31.105,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"UARINI";"R$ 31.412,80";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"ANAMÃ";"R$ 31.584,48";
"Legais, Voluntárias e Específicas";"0969 - APOIO AO TRANSPORTE ESCOLAR NA EDUCACAO BASICA";"PNATE";"Administração Pública Municipal";"AM";"IPIXUNA";"R$ 31.713,24";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"JURUÁ";"R$ 31.789,60";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"JUTAÍ";"R$ 32.379,13";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"MARAÃ";"R$ 32.484,61";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"SÃO SEBASTIÃO DO UATUMÃ";"R$ 32.526,40";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"COARI";"R$ 32.953,37";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"JUTAÍ";"R$ 32.970,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"HUMAITÁ";"R$ 33.249,00";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"CODAJÁS";"R$ 33.348,27";
"Legais, Voluntárias e Específicas";"20AL - APOIO AOS ESTADOS, DISTRITO FEDERAL E MUNICIPIOS PARA A VIGILANCIA EM SAUDE";"Vigilância em Saúde";"Fundo Público";"AM";"BOA VISTA DO RAMOS";"R$ 33.349,27";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"BENJAMIN CONSTANT";"R$ 33.480,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"CANUTAMA";"R$ 33.600,00";
"Legais, Voluntárias e Específicas";"219F - ACOES DE PROTECAO SOCIAL ESPECIAL";"Sem informação";"Fundo Público";"AM";"TEFÉ";"R$ 33.808,36";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"JURUÁ";"R$ 34.131,84";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"BERURI";"R$ 35.102,29";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"CAREIRO DA VÁRZEA";"R$ 35.253,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"PRESIDENTE FIGUEIREDO";"R$ 35.547,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"PARINTINS";"R$ 35.827,50";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"BOA VISTA DO RAMOS";"R$ 35.925,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"COARI";"R$ 35.940,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"TAPAUÁ";"R$ 36.088,60";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"IPIXUNA";"R$ 36.210,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"CANUTAMA";"R$ 36.259,28";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"NOVO ARIPUANÃ";"R$ 36.360,56";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"RIO PRETO DA EVA";"R$ 36.437,26";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"APUÍ";"R$ 36.469,27";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"ATALAIA DO NORTE";"R$ 36.825,47";
"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"AM";"BARCELOS";"R$ 36.838,17";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"NHAMUNDÁ";"R$ 37.120,92";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"ALVARÃES";"R$ 37.215,12";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"URUCARÁ";"R$ 37.393,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"FONTE BOA";"R$ 37.459,40";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"MANACAPURU";"R$ 37.467,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"IPIXUNA";"R$ 37.622,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"EIRUNEPÉ";"R$ 38.403,00";
"Legais, Voluntárias e Específicas";"4014 - CENSO ESCOLAR DA EDUCACAO BASICA";"Censo Escolar";"Administração Pública Estadual ou do Distrito Federal";"AM";"Não se aplica";"R$ 38.544,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"GUAJARÁ";"R$ 38.692,96";
"Legais, Voluntárias e Específicas";"00SU - APOIO A IMPLANTACAO DE ESCOLAS PARA EDUCACAO INFANTIL";"Sem informação";"Administração Pública Municipal";"AM";"MANACAPURU";"R$ 38.802,86";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"ATALAIA DO NORTE";"R$ 38.851,39";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"PRESIDENTE FIGUEIREDO";"R$ 38.969,28";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"MANAQUIRI";"R$ 39.084,29";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"NOVO ARIPUANÃ";"R$ 39.147,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"TAPAUÁ";"R$ 39.660,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Entidades Sem Fins Lucrativos";"AM";"COARI";"R$ 40.057,50";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"SANTO ANTÔNIO DO IÇÁ";"R$ 40.103,07";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"RIO PRETO DA EVA";"R$ 41.667,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"LÁBREA";"R$ 41.673,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"MANAQUIRI";"R$ 41.924,28";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"CODAJÁS";"R$ 42.088,64";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"JUTAÍ";"R$ 42.096,40";
"Legais, Voluntárias e Específicas";"20RP - APOIO A INFRAESTRUTURA PARA A EDUCACAO BASICA";"Sem informação";"Administração Pública Municipal";"AM";"BENJAMIN CONSTANT";"R$ 42.175,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"NOVO ARIPUANÃ";"R$ 42.473,65";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"MARAÃ";"R$ 42.639,48";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"CAREIRO DA VÁRZEA";"R$ 42.859,31";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"IPIXUNA";"R$ 43.053,88";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"BOCA DO ACRE";"R$ 43.221,78";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"NOVO ARIPUANÃ";"R$ 43.251,47";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"JAPURÁ";"R$ 43.260,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"ANORI";"R$ 43.269,22";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"PAUINI";"R$ 43.290,00";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"PAUINI";"R$ 43.290,00";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"ANAMÃ";"R$ 43.418,75";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"TONANTINS";"R$ 43.524,48";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"JURUÁ";"R$ 43.893,83";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"MANAQUIRI";"R$ 43.935,00";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"BOCA DO ACRE";"R$ 43.983,99";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Administração Pública Municipal";"AM";"SÃO PAULO DE OLIVENÇA";"R$ 44.133,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"IRANDUBA";"R$ 44.256,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"BOA VISTA DO RAMOS";"R$ 44.560,24";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"BENJAMIN CONSTANT";"R$ 44.628,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"MANICORÉ";"R$ 44.652,00";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"BORBA";"R$ 44.823,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"NOVO AIRÃO";"R$ 45.133,28";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Administração Pública Municipal";"AM";"SÃO PAULO DE OLIVENÇA";"R$ 45.175,03";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"SANTA ISABEL DO RIO NEGRO";"R$ 45.400,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"PAUINI";"R$ 45.451,84";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"BERURI";"R$ 45.655,28";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"MANAQUIRI";"R$ 45.860,79";
"Legais, Voluntárias e Específicas";"0509 - APOIO AO DESENVOLVIMENTO DA EDUCACAO BASICA";"Promed";"Administração Pública Municipal";"AM";"ITAMARATI";"R$ 46.072,53";
"Legais, Voluntárias e Específicas";"219G - ESTRUTURACAO DA REDE DE SERVICOS DO SISTEMA UNICO DE ASSISTENCIA SOCIAL (SUAS)";"Sem informação";"Fundo Público";"AM";"SANTA ISABEL DO RIO NEGRO";"R$ 46.119,58";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"TAPAUÁ";"R$ 46.130,88";
"Legais, Voluntárias e Específicas";"21DR - APOIO AOS ENTES FEDERADOS POR MEIO DO INDICE DE GESTAO DESCENTRALIZADA DO PROGRAMA AUXILIO BRASIL - IGD - PAB";"Sem informação";"Fundo Público";"AM";"CAREIRO DA VÁRZEA";"R$ 46.328,28";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"ENVIRA";"R$ 46.476,56";
"Legais, Voluntárias e Específicas";"217M - DESENVOLVIMENTO INTEGRAL NA PRIMEIRA INFANCIA - CRIANCA FELIZ";"Sem informação";"Fundo Público";"AM";"SANTO ANTÔNIO DO IÇÁ";"R$ 46.536,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"ATALAIA DO NORTE";"R$ 46.610,00";
"Legais, Voluntárias e Específicas";"219E - ACOES DE PROTECAO SOCIAL BASICA";"Sem informação";"Fundo Público";"AM";"ENVIRA";"R$ 46.828,98";
"Legais, Voluntárias e Específicas";"0515 - DINHEIRO DIRETO NA ESCOLA PARA A EDUCACAO BASICA";"PDDE";"Administração Pública Municipal";"AM";"MANACAPURU";"R$ 46.980,00";
"Legais, Voluntárias e Específicas";"20AE - PROMOCAO DA ASSISTENCIA FARMACEUTICA E INSUMOS ESTRATEGICOS NA ATENCAO BASICA EM SAUDE";"FARMÁCIA BÁSICA";"Fundo Público";"AM";"TONANTINS";"R$ 47.063,52";
